ID,Size (KB),Title,Authors,Author Birth Years,Languages,LCC Subjects
pg10274,245,Sermons on Evil-Speaking,"Barrow, Isaac",1630,en,BV BJ
pg10291,227,In the Fourth Year: Anticipations of a World Peace,"Wells, H. G. (Herbert George)",1866,en,D501
pg10315,864,"The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 1",Omar Khayyam,1048,en,PJ
pg10316,259,Roy Blakeley's Adventures in Camp,"Fitzhugh, Percy Keese",1876,en,PZ
pg10318,183,Damon and Delia: A Tale,"Godwin, William",1756,en,PR
pg10319,291,"Dave Darrin's Third Year at Annapolis; Or, Leaders of the Second Class Midshipmen","Hancock, H. Irving (Harrie Irving)",1868,en,PZ
pg10320,149,Dotty Dimple at Play,"May, Sophie",1833,en,PZ
pg10321,338,Dragon's blood,"Rideout, Henry Milner",1877,en,PS
pg10322,608,Miss Prudence: A Story of Two Girls' Lives.,"Conklin, Nathaniel, Mrs.",1841,en,PS
pg10323,318,"The Rover Boys at College; Or, The Right Road and the Wrong","Stratemeyer, Edward",1862,en,PZ
pg10324,301,Bull Hunter,"Brand, Max",1892,en,PS
pg10325,318,The Gospel of the Pentateuch: A Set of Parish Sermons,"Kingsley, Charles",1819,en,BX
pg10326,102,David: Five Sermons,"Kingsley, Charles",1819,en,BS
pg10327,559,Alias the Lone Wolf,"Vance, Louis Joseph",1879,en,PS
pg10328,174,Poems,"Cassels, Walter Richard",1826,en,PR
pg10329,100,Snubby Nose and Tippy Toes,"Smith, Laura Rountree",1876,en,PZ
pg10333,191,The European Anarchy,"Dickinson, G. Lowes (Goldsworthy Lowes)",1862,en,D501
pg10335,257,Children's Rights: A Book of Nursery Logic,"Wiggin, Kate Douglas Smith",1856,en,HQ
pg10337,148,Lady into Fox,"Garnett, David",1892,en,PR
pg10338,125,With the Turks in Palestine,"Aaronsohn, Alexander",1888,en,D501
pg1033,173,Rose o' the River,"Wiggin, Kate Douglas Smith",1856,en,PS
pg10340,387,Dab Kinzer: A Story of a Growing Boy,"Stoddard, William Osborn",1835,en,PZ
pg10342,425,The Velvet Glove,"Merriman, Henry Seton",1862,en,PR
pg10345,670,Domestic Manners of the Americans,"Trollope, Frances Milton",1780,en,E151
pg1034,65,Poems,"Owen, Wilfred",1893,en,PR
pg10350,1065,"The Works of Samuel Johnson, LL.D. in Eleven Volumes, Volume 06
Reviews, Political Tracts, and Lives of Eminent Persons","Johnson, Samuel",1709,en,PR
pg10351,1127,"The Works of Samuel Johnson, LL.D. Volume 10
Parlimentary Debates I","Johnson, Samuel",1709,en,DA
pg10352,1134,"The Works of Samuel Johnson, LL.D. Volume 11.
Parlimentary Debates II.","Johnson, Samuel",1709,en,DA
pg10355,324,"Travels in Morocco, Volume 1.","Richardson, James",1806,en,DT
pg10356,328,"Travels in Morocco, Volume 2.","Richardson, James",1806,en,DT
pg10357,1185,"Life of Johnson, Volume 4
1780-1784","Boswell, James",1740,en,PR
pg10358,509,The Boss of Little Arcady,"Wilson, Harry Leon",1867,en,PS
pg10359,298,Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856,en,PZ
pg1035,110,The Man Against the Sky: A Book of Poems,"Robinson, Edwin Arlington",1869,en,PS
pg10360,441,Kitty's Class Day and Other Stories,"Alcott, Louisa May",1832,en,PS
pg10361,233,The Creative Process in the Individual,"Troward, T. (Thomas)",1847,en,BF
pg10362,264,Sketches of the East Africa Campaign,"Dolbey, Robert Valentine",1878,en,D501
pg10363,812,The Bravo: A Tale,"Cooper, James Fenimore",1789,en,PS
pg10364,567,Yeast: a Problem,"Kingsley, Charles",1819,en,PR
pg10365,878,Precaution: A Novel,"Cooper, James Fenimore",1789,en,PS
pg10366,468,"Freedom's Battle
Being a Comprehensive Collection of Writings and Speeches on the Present Situation","Gandhi, Mahatma",1869,en,DS
pg10367,144,Poems,"Carr, John, Sir",1772,en,PR
pg10368,224,The Vizier of the Two-Horned Alexander,"Stockton, Frank Richard",1834,en,PS
pg10369,853,"Memoir and Diary of John Yeardley, Minister of the Gospel","Yeardley, John",1786,en,BX
pg10370,573,Sustained honor: The Age of Liberty Established,"Musick, John R. (John Roy)",1849,en,PS
pg10371,435,The Cinema Murder,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
pg10372,501,Bunch Grass: A Chronicle of Life on a Cattle Ranch,"Vachell, Horace Annesley",1861,en,PR
pg10373,432,The Middle Temple Murder,"Fletcher, J. S. (Joseph Smith)",1863,en,PR
pg10374,431,The Ramblin' Kid,"Bowman, Earl Wayland",1875,en,PS
pg10375,496,England's Antiphon,"MacDonald, George",1824,en,PR
pg10376,198,American Indian Stories,Zitkala-Sa,1876,en,E011
pg10377,287,The Evil Guest,"Le Fanu, Joseph Sheridan",1814,en,PR
pg10378,455,Autobiography,"Mill, John Stuart",1806,en,B
pg10379,827,At Love's Cost,"Garvice, Charles",1850,en,PR
pg1037,306,The Life of John Bunyan,"Venables, Edmund",1819,en,PR
pg10380,891,Bible Stories and Religious Classics,"Wells, Philip P. (Philip Patterson)",1868,en,PZ BS
pg10381,884,"The History of a Crime
The Testimony of an Eye-Witness","Hugo, Victor",1802,en,DC
pg10386,198,"Thoughts on the Necessity of Improving the Condition of the Slaves in the British Colonies
With a View to Their Ultimate Emancipation; and on the Practicability, the Safety, and the Advantages of the Latter Measure.","Clarkson, Thomas",1760,en,HT
pg10387,494,A Century Too Soon: The Age of Tyranny,"Musick, John R. (John Roy)",1849,en,PS
pg10389,186,"Northern Trails, Book I.","Long, William J. (William Joseph)",1867,en,QL
pg10390,194,The Edinburgh Lectures on Mental Science,"Troward, T. (Thomas)",1847,en,BF
pg10391,387,The Wolf's Long Howl,"Waterloo, Stanley",1846,en,PS
pg10392,619,The Reminiscences of Sir Henry Hawkins (Baron Brampton),"Brampton, Henry Hawkins, Baron",1817,en,KD
pg10393,55,Making the House a Home,"Guest, Edgar A. (Edgar Albert)",1881,en,PS
pg10394,288,Stolen Treasure,"Pyle, Howard",1853,en,PS
pg10395,86,Joy and Power: Three Messages with One Meaning,"Van Dyke, Henry",1852,en,PS
pg10397,289,"Affairs of State
Being an Account of Certain Surprising Adventures Which Befell an American Family in the Land of Windmills","Stevenson, Burton Egbert",1872,en,PS
pg10398,222,The American Child,"McCracken, Elizabeth",1876,en,HQ
pg1039,1728,Missionary Travels and Researches in South Africa,"Livingstone, David",1813,en,DT
pg103,389,Around the World in Eighty Days,"Verne, Jules",1828,en,PQ
pg10401,214,"Personal Memoir of Daniel Drayton, For Four Years and Four Months a Prisoner (For Charity's Sake) in Washington Jail
Including A Narrative Of The Voyage And Capture Of The Schooner Pearl","Drayton, Daniel",1802,en,E300 KF
pg10402,363,A Man and His Money,"Isham, Frederic Stewart",1866,en,PS
pg10404,438,Man-Size,"Raine, William MacLeod",1871,en,PS
